metric,value
accuracy,0.982540
auc_healthy,0.999603
auc_sick_non_tb,0.998968
auc_tb,0.996330
avg_precision,0.969602
avg_recall,0.969591
f1,0.969578
precision,0.969602
recall,0.969591
roc_auc_macro_ovr,0.998300
roc_auc_weighted_ovr,0.999004
sensitivity_healthy,0.996491
sensitivity_sick_non_tb,0.978947
sensitivity_tb,0.933333
specificity_healthy,0.988406
specificity_sick_non_tb,0.991304
specificity_tb,0.992982
