curve,x,y
all,0.0024390243902439024,0.1610011641443539
all,0.003658536585365854,0.16263096623981374
all,0.004878048780487805,0.16484284051222353
all,0.006097560975609756,0.16763678696158327
all,0.007317073170731708,0.17054714784633299
all,0.00853658536585366,0.1734575087310827
all,0.00975609756097561,0.17636786961583242
all,0.01097560975609756,0.17927823050058211
all,0.012195121951219513,0.18207217694994182
all,0.013414634146341463,0.1849825378346915
all,0.014634146341463415,0.18777648428405122
all,0.015853658536585366,0.1906868451688009
all,0.01707317073170732,0.19348079161816067
all,0.018292682926829267,0.1963911525029104
all,0.01951219512195122,0.19906868451688015
all,0.020731707317073172,0.20186263096623985
all,0.02195121951219512,0.20454016298020955
all,0.023170731707317073,0.2072176949941793
all,0.024390243902439025,0.20989522700814905
all,0.025609756097560974,0.21257275902211875
all,0.026829268292682926,0.2151338766006985
all,0.02804878048780488,0.21757857974388825
all,0.02926829268292683,0.22013969732246796
all,0.03048780487804878,0.22246798603026774
all,0.03170731707317073,0.22491268917345747
all,0.032926829268292684,0.22735739231664723
all,0.03414634146341464,0.229802095459837
all,0.03536585365853658,0.2320139697322468
all,0.036585365853658534,0.2342258440046566
all,0.03780487804878049,0.23643771827706636
all,0.03902439024390244,0.23853317811408617
all,0.04024390243902439,0.24062863795110598
all,0.041463414634146344,0.24284051222351577
all,0.042682926829268296,0.24516880093131552
all,0.04390243902439024,0.24726426076833533
all,0.045121951219512194,0.24947613504074506
all,0.046341463414634146,0.25157159487776487
all,0.0475609756097561,0.2536670547147846
all,0.04878048780487805,0.2556461001164144
all,0.05,0.2576251455180442
all,0.05121951219512195,0.25948777648428406
all,0.0524390243902439,0.26123399301513384
all,0.05365853658536585,0.2628637951105937
all,0.054878048780487805,0.26449359720605353
all,0.05609756097560976,0.2660069848661234
all,0.05731707317073171,0.26740395809080325
all,0.05853658536585366,0.2688009313154831
all,0.05975609756097561,0.269965075669383
all,0.06097560975609756,0.2710128055878929
all,0.06219512195121951,0.27194412107101285
all,0.06341463414634146,0.2727590221187428
all,0.06463414634146342,0.27345750873108265
all,0.06585365853658537,0.2742724097788126
all,0.06707317073170732,0.27485448195576256
all,0.06829268292682927,0.2753201396973225
all,0.06951219512195123,0.2757857974388825
all,0.07073170731707316,0.2762514551804425
all,0.07195121951219512,0.2764842840512224
all,0.07317073170731707,0.2767171129220024
all,0.07439024390243902,0.2769499417927824
all,0.07560975609756097,0.27718277066356234
all,0.07682926829268293,0.27729918509895235
all,0.07804878048780488,0.27729918509895235
all,0.07926829268292683,0.27729918509895235
all,0.08048780487804878,0.27729918509895235
all,0.08170731707317073,0.27718277066356234
all,0.08292682926829269,0.2769499417927824
all,0.08414634146341464,0.27683352735739236
all,0.08536585365853659,0.2766006984866124
all,0.08658536585365853,0.27636786961583243
all,0.08780487804878048,0.27590221187427244
all,0.08902439024390243,0.27555296856810246
all,0.09024390243902439,0.2752037252619325
all,0.09146341463414634,0.27485448195576256
all,0.09268292682926829,0.2743888242142026
all,0.09390243902439024,0.2741559953434226
all,0.0951219512195122,0.2738067520372527
all,0.09634146341463415,0.27334109429569275
all,0.0975609756097561,0.2729918509895227
all,0.09878048780487805,0.27264260768335274
all,0.1,0.2721769499417928
all,0.10121951219512196,0.27182770663562283
all,0.1024390243902439,0.27147846332945286
all,0.10365853658536585,0.2710128055878929
all,0.1048780487804878,0.27066356228172295
all,0.10609756097560975,0.270314318975553
all,0.1073170731707317,0.269848661233993
all,0.10853658536585366,0.26949941792782306
all,0.10975609756097561,0.2690337601862631
all,0.11097560975609756,0.26856810244470314
all,0.11219512195121951,0.2682188591385332
all,0.11341463414634147,0.2677532013969733
all,0.11463414634146342,0.2672875436554133
all,0.11585365853658537,0.2669383003492433
all,0.11707317073170732,0.26647264260768333
all,0.11829268292682926,0.2660069848661234
all,0.11951219512195121,0.26577415599534343
all,0.12073170731707317,0.26542491268917345
all,0.12195121951219512,0.2651920838183935
all,0.12317073170731707,0.26507566938300353
all,0.12439024390243902,0.26484284051222357
all,0.12560975609756098,0.26461001164144354
all,0.12682926829268293,0.26449359720605353
all,0.12804878048780488,0.2643771827706635
all,0.12926829268292683,0.26426076833527357
all,0.13048780487804879,0.2643771827706636
all,0.13170731707317074,0.2644935972060536
all,0.1329268292682927,0.26461001164144354
all,0.13414634146341464,0.2648428405122235
all,0.1353658536585366,0.26507566938300353
all,0.13658536585365855,0.2651920838183935
all,0.1378048780487805,0.26542491268917345
all,0.13902439024390245,0.26577415599534343
all,0.1402439024390244,0.2660069848661234
all,0.14146341463414633,0.26647264260768333
all,0.14268292682926828,0.2669383003492433
all,0.14390243902439023,0.2672875436554133
all,0.14512195121951219,0.2676367869615833
all,0.14634146341463414,0.2681024447031432
all,0.1475609756097561,0.26833527357392317
all,0.14878048780487804,0.26880093131548316
all,0.15,0.2692665890570431
all,0.15121951219512195,0.269615832363213
all,0.1524390243902439,0.26984866123399304
all,0.15365853658536585,0.270197904540163
all,0.1548780487804878,0.27043073341094304
