epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3377.85,1.88766,2.76617,1.59816,0.6772,0.17137,0.1566,0.06683,0.23487,0.52303,0.23672,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3482.23,2.00507,2.78172,1.669,0.65656,0.16635,0.14692,0.05662,0.24463,0.88355,0.24705,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3586.83,1.9644,2.69719,1.6635,0.6789,0.18347,0.18278,0.06826,0.24168,2.2926,0.24414,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3691.02,1.93308,2.7038,1.65892,0.68878,0.1754,0.17467,0.07062,0.24022,1.31315,0.24114,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3795.45,1.94085,2.73742,1.63207,0.6787,0.16129,0.17694,0.06812,0.23415,0.95244,0.23653,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3900.51,1.92833,2.65345,1.63331,0.69554,0.19758,0.18988,0.07012,0.23385,1.63761,0.2383,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4006.1,1.9354,2.54801,1.67631,0.70185,0.21169,0.21629,0.07776,0.2353,5.54132,0.24202,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4111.63,1.90534,2.53443,1.64276,0.68047,0.20968,0.20339,0.07643,0.23058,4.22049,0.23665,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4216.41,1.89143,2.49605,1.61239,0.70265,0.2379,0.22099,0.08211,0.2285,2.57672,0.23497,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4320.83,1.86058,2.4925,1.5883,0.71876,0.22177,0.21541,0.08262,0.23028,3.69741,0.2354,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4424.58,1.8586,2.5024,1.59617,0.76441,0.21573,0.2588,0.09415,0.2271,7.04048,0.23304,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4528.78,1.88823,2.47402,1.62732,0.70028,0.25403,0.22812,0.0833,0.2322,2.83501,0.24004,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4633.54,1.8822,2.5101,1.61986,0.72261,0.25,0.23836,0.08064,0.22965,3.40337,0.23758,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4738.3,1.89493,2.4514,1.62393,0.73183,0.22984,0.26653,0.0963,0.22395,2.92258,0.23174,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4842.27,1.89189,2.50067,1.62912,0.73829,0.20968,0.2431,0.09288,0.22751,2.53607,0.23334,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4946.17,1.87762,2.38777,1.59308,0.7608,0.21103,0.25595,0.10201,0.22454,0.88109,0.23042,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5050.57,1.86427,2.3833,1.61043,0.75475,0.23387,0.26288,0.09749,0.23098,1.95568,0.23759,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5155.55,1.82742,2.39165,1.58525,0.74142,0.22379,0.25527,0.10384,0.22164,1.85107,0.23056,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5260.04,1.90261,2.51459,1.61993,0.7392,0.25202,0.27062,0.10564,0.22169,3.20295,0.23033,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5364.73,1.85815,2.44888,1.60006,0.73709,0.21976,0.25647,0.10798,0.21923,1.82946,0.22537,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5469.36,1.85033,2.44943,1.62729,0.74285,0.19758,0.2571,0.10824,0.22023,0.8514,0.2256,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5573.86,1.83451,2.27972,1.56337,0.75048,0.24798,0.29374,0.12311,0.21471,2.10862,0.22332,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5677.81,1.81993,2.32403,1.56395,0.75337,0.25806,0.28335,0.11912,0.21993,2.20593,0.22597,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5782.39,1.79733,2.35794,1.55086,0.74315,0.25,0.26554,0.10417,0.21963,4.03658,0.22692,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5886.84,1.89282,2.37882,1.63038,0.7758,0.24798,0.30373,0.1221,0.22528,2.74337,0.22964,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5990.76,1.83698,2.29934,1.60624,0.77346,0.23589,0.2799,0.11913,0.21534,2.34053,0.22278,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6095.14,1.79594,2.33104,1.55574,0.7985,0.24789,0.29596,0.11947,0.21867,1.94518,0.22486,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6200.7,1.86441,2.37807,1.60572,0.77012,0.26411,0.26996,0.10768,0.21998,3.19356,0.22691,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6305.32,1.8113,2.29985,1.57542,0.76707,0.24194,0.27462,0.11775,0.21564,2.46972,0.2231,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6410.96,1.79768,2.24158,1.55966,0.76835,0.25806,0.27794,0.1186,0.21824,1.67396,0.22439,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6516.06,1.81476,2.25326,1.57283,0.76837,0.25228,0.28922,0.12294,0.21698,2.04301,0.22374,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6621.36,1.81682,2.28911,1.56631,0.76936,0.26008,0.27192,0.12228,0.21788,2.74075,0.225,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6726.76,1.79708,2.26327,1.5436,0.78441,0.25605,0.2947,0.12793,0.21921,2.14954,0.22626,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6831.36,1.79183,2.18679,1.56626,0.7718,0.26815,0.29789,0.12859,0.21747,2.11713,0.22513,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
