metric,value
auc_tb,0.999613
pauc_spec_40_60,1.000000
spec_at_90_sens,1.000000
sens_at_operating_point,0.941667
threshold_at_90_sens,0.584965
prevalence,0.095238
n_positive,120.000000
n_negative,1140.000000
n_total,1260.000000
