epoch,loss,metric
1,0.366990,0.681746
2,0.243223,0.953175
3,0.172291,0.894444
4,0.151580,0.873016
5,0.137721,0.947619
6,0.119847,0.933333
7,0.117883,0.965873
8,0.091478,0.973016
9,0.082138,0.966667
10,0.104178,0.922222
11,0.092560,0.984127
12,0.070132,0.976984
13,0.066686,0.978571
14,0.060419,0.976190
15,0.059647,0.973810
16,0.063100,0.974603
17,0.047666,0.933333
18,0.054767,0.967460
19,0.037511,0.965079
20,0.043251,0.972222
21,0.047333,0.976190
22,0.035279,0.979365
23,0.041423,0.980952
24,0.030028,0.972222
25,0.020620,0.985714
26,0.029383,0.975397
27,0.015861,0.972222
28,0.030575,0.976984
29,0.028432,0.967460
30,0.025847,0.983333
31,0.017160,0.986508
32,0.017312,0.980952
33,0.016688,0.986508
34,0.023197,0.979365
35,0.005986,0.980952
36,0.022119,0.984127
37,0.026130,0.934921
38,0.022006,0.979365
39,0.014430,0.981746
40,0.004503,0.978571
41,0.019415,0.978571
42,0.018395,0.984127
43,0.012708,0.986508
44,0.013118,0.977778
45,0.004153,0.989683
46,0.013432,0.986508
47,0.013234,0.985714
48,0.010753,0.984127
49,0.014716,0.978571
50,0.005772,0.987302
51,0.004686,0.980952
52,0.001959,0.988095
53,0.014778,0.977778
54,0.022914,0.978571
55,0.012421,0.984127
56,0.004670,0.988095
57,0.004398,0.988889
58,0.005293,0.985714
59,0.005480,0.986508
60,0.011717,0.983333
61,0.013012,0.988095
62,0.005306,0.987302
63,0.001340,0.984921
64,0.001885,0.989683
65,0.002817,0.990476
66,0.015680,0.988889
67,0.008473,0.980952
68,0.016963,0.983333
69,0.003410,0.976984
70,0.003419,0.988889
71,0.002354,0.986508
72,0.016279,0.983333
73,0.009346,0.986508
74,0.002021,0.988095
75,0.000818,0.985714
76,0.000729,0.991270
77,0.010662,0.973016
78,0.012443,0.985714
79,0.001041,0.990476
80,0.003355,0.965873
81,0.022715,0.982540
82,0.007893,0.980159
83,0.000857,0.988889
84,0.006049,0.985714
85,0.010218,0.980952
86,0.003761,0.988095
87,0.002440,0.988889
88,0.002249,0.982540
89,0.002704,0.987302
90,0.003067,0.984921
91,0.002922,0.987302
92,0.001056,0.988095
93,0.011840,0.983333
94,0.008480,0.984921
95,0.001824,0.985714
96,0.002474,0.988889
97,0.000874,0.984127
98,0.000097,0.985714
99,0.000295,0.983333
100,0.009717,0.976190
