metric,value
accuracy,0.981746
auc_healthy,0.998894
auc_sick_non_tb,0.999176
auc_tb,0.998158
avg_precision,0.967068
avg_recall,0.969006
f1,0.968016
precision,0.967068
recall,0.969006
roc_auc_macro_ovr,0.998743
roc_auc_weighted_ovr,0.998952
sensitivity_healthy,0.985965
sensitivity_sick_non_tb,0.987719
sensitivity_tb,0.933333
specificity_healthy,0.997101
specificity_sick_non_tb,0.982609
specificity_tb,0.992105
