metric,value
accuracy,0.988095
auc_healthy,0.999652
auc_sick_non_tb,0.999352
auc_tb,0.998911
avg_precision,0.982284
avg_recall,0.978070
f1,0.980154
precision,0.982284
recall,0.978070
roc_auc_macro_ovr,0.999305
roc_auc_weighted_ovr,0.999445
sensitivity_healthy,0.994737
sensitivity_sick_non_tb,0.989474
sensitivity_tb,0.950000
specificity_healthy,0.995652
specificity_sick_non_tb,0.988406
specificity_tb,0.996491
