epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1979.31,1.93021,2.62276,0.02038,0.64756,0.16331,0.16091,0.06068,0.22404,1.74486,0.00287,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2039.09,1.93326,2.42588,0.02055,0.74031,0.20968,0.22963,0.08524,0.23094,0.8312,0.00292,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2098.7,1.89734,2.4694,0.02013,0.74158,0.17137,0.17416,0.0673,0.24095,0.39712,0.00303,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2158.06,1.87788,2.38943,0.01984,0.74146,0.22596,0.23397,0.09222,0.23206,0.37905,0.00295,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2217.17,1.81177,2.44661,0.01934,0.71058,0.23992,0.22718,0.08329,0.22808,0.39914,0.0029,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2276.83,1.85712,2.44614,0.01916,0.72194,0.21169,0.20984,0.0816,0.22792,0.91768,0.00297,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2336.31,1.86522,2.33353,0.01929,0.72904,0.25605,0.25736,0.09684,0.23355,0.43795,0.00299,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2395.97,1.88125,2.38292,0.01986,0.78386,0.22177,0.26007,0.09932,0.22561,0.61001,0.0028,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2455.55,1.89442,2.45926,0.02021,0.74113,0.21976,0.23941,0.1,0.22505,0.32227,0.00284,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2514.62,1.8706,2.37266,0.01956,0.64863,0.19758,0.1611,0.05526,0.24732,0.34744,0.00311,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2574.51,1.84815,2.45065,0.01988,0.71586,0.24798,0.25021,0.09531,0.22662,0.3441,0.00285,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2633.69,1.82251,2.31455,0.01943,0.22999,0.24005,0.21039,0.0858,0.23491,0.34672,0.00292,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2693.37,1.87333,2.39514,0.01998,0.57931,0.14113,0.05964,0.01926,0.25796,23.4424,0.00348,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2752.65,1.78934,2.33025,0.01873,0.69461,0.28629,0.24454,0.09409,0.23474,0.3095,0.00297,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2812.35,1.85859,2.33212,0.02027,0.73091,0.2249,0.23652,0.09575,0.23266,0.71058,0.003,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2872.02,1.83654,2.2532,0.01943,0.71536,0.28024,0.23023,0.08518,0.24548,0.97391,0.00327,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2932.01,1.86742,2.30035,0.0199,0.74716,0.21169,0.25964,0.10795,0.21566,0.34374,0.00269,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2992.07,1.75496,2.23436,0.01842,0.75842,0.23992,0.27023,0.11315,0.22282,0.3122,0.00281,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3051.87,1.83747,2.27603,0.01921,0.73425,0.21371,0.25341,0.11056,0.21764,0.29772,0.0027,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3111.5,1.7628,2.22204,0.01871,0.76149,0.24597,0.27849,0.11578,0.23092,0.34932,0.00292,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3171.2,1.86132,2.2085,0.01942,0.73943,0.25,0.26683,0.09789,0.23513,0.75695,0.00303,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3231.36,1.83413,2.14766,0.01903,0.76565,0.24454,0.29333,0.12088,0.21821,0.65038,0.00274,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3292.03,1.81585,2.21264,0.01908,0.71939,0.25063,0.24159,0.09695,0.23529,1.25859,0.00304,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
