curve,x,y
all,0.0024390243902439024,0.10034924330616998
all,0.003658536585365854,0.10128055878928989
all,0.004878048780487805,0.10244470314318978
all,0.006097560975609756,0.10384167636786965
all,0.007317073170731708,0.10535506402793951
all,0.00853658536585366,0.10686845168800936
all,0.00975609756097561,0.10826542491268921
all,0.01097560975609756,0.10966239813736908
all,0.012195121951219513,0.11117578579743895
all,0.013414634146341463,0.1125727590221188
all,0.014634146341463415,0.11396973224679863
all,0.015853658536585366,0.11548311990686845
all,0.01707317073170732,0.11699650756693829
all,0.018292682926829267,0.11862630966239812
all,0.01951219512195122,0.12025611175785794
all,0.020731707317073172,0.12188591385331779
all,0.02195121951219512,0.12351571594877762
all,0.023170731707317073,0.12514551804423746
all,0.024390243902439025,0.1267753201396973
all,0.025609756097560974,0.12840512223515715
all,0.026829268292682926,0.130034924330617
all,0.02804878048780488,0.13166472642607682
all,0.02926829268292683,0.13341094295692665
all,0.03048780487804878,0.1350407450523865
all,0.03170731707317073,0.13678696158323633
all,0.032926829268292684,0.13841676367869618
all,0.03414634146341464,0.140162980209546
all,0.03536585365853658,0.14190919674039584
all,0.036585365853658534,0.1436554132712457
all,0.03780487804878049,0.1455180442374855
all,0.03902439024390244,0.1473806752037253
all,0.04024390243902439,0.14924330616996512
all,0.041463414634146344,0.1509895227008149
all,0.042682926829268296,0.15285215366705468
all,0.04390243902439024,0.1545983701979045
all,0.045121951219512194,0.1564610011641443
all,0.046341463414634146,0.15820721769499416
all,0.0475609756097561,0.16006984866123397
all,0.04878048780487805,0.16193247962747379
all,0.05,0.16367869615832364
all,0.05121951219512195,0.16542491268917348
all,0.0524390243902439,0.1671711292200233
all,0.05365853658536585,0.16880093131548313
all,0.054878048780487805,0.17019790454016298
all,0.05609756097560976,0.17171129220023285
all,0.05731707317073171,0.17299185098952272
all,0.05853658536585366,0.17415599534342263
all,0.05975609756097561,0.17532013969732252
all,0.06097560975609756,0.1763678696158324
all,0.06219512195121951,0.1771827706635623
all,0.06341463414634146,0.17799767171129227
all,0.06463414634146342,0.17881257275902215
all,0.06585365853658537,0.17939464493597213
all,0.06707317073170732,0.18009313154831202
all,0.06829268292682927,0.18067520372526197
all,0.06951219512195123,0.18114086146682196
all,0.07073170731707316,0.18149010477299193
