metric,value
accuracy,0.992063
auc_healthy,0.999817
auc_sick_non_tb,0.999616
auc_tb,0.999539
avg_precision,0.989698
avg_recall,0.985380
f1,0.987511
precision,0.989698
recall,0.985380
roc_auc_macro_ovr,0.999657
roc_auc_weighted_ovr,0.999700
sensitivity_healthy,0.994737
sensitivity_sick_non_tb,0.994737
sensitivity_tb,0.966667
specificity_healthy,0.998551
specificity_sick_non_tb,0.989855
specificity_tb,0.998246
