epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4645.45,1.9344,2.8817,1.62484,0.62956,0.20766,0.15419,0.06005,0.239,0.91365,0.24237,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4790.82,2.06861,2.88146,1.70941,0.57778,0.29839,0.13255,0.04997,0.24622,2.08955,0.25055,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4936.55,2.01308,2.86937,1.69654,0.66283,0.13242,0.11313,0.0428,0.26009,0.47293,0.25643,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5082.19,1.98318,2.80404,1.69277,0.61931,0.24597,0.16963,0.07026,0.23721,2.23636,0.242,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5227.4,1.95832,2.87357,1.65975,0.64396,0.17944,0.17039,0.06663,0.23425,1.08809,0.23791,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5385.46,1.98246,2.78137,1.66548,0.5875,0.28226,0.17018,0.06946,0.23287,3.42792,0.23959,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5546,2.00023,2.68257,1.71012,0.57005,0.31653,0.13457,0.03912,0.25729,23.822,0.26183,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5691.53,1.94013,2.65744,1.66676,0.63932,0.25806,0.19946,0.0737,0.23837,3.80528,0.24536,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5836.31,1.94129,2.63021,1.64852,0.62251,0.24395,0.18234,0.07027,0.2362,1.65477,0.24036,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5980.46,1.89416,2.63523,1.61208,0.65961,0.24395,0.19151,0.07547,0.23825,1.86277,0.24107,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6125.37,1.88821,2.67306,1.62475,0.66881,0.20363,0.18756,0.07681,0.2315,1.60249,0.23553,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6270.45,1.92953,2.58586,1.65869,0.63712,0.28949,0.20755,0.07818,0.23767,4.65544,0.24449,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6412.79,1.93162,2.65508,1.64466,0.67833,0.1889,0.19628,0.08036,0.2369,1.2724,0.24165,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6558.74,1.93791,2.60852,1.64443,0.66398,0.27419,0.24083,0.09521,0.22594,4.44903,0.2336,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6704.57,1.94753,2.6515,1.65679,0.67598,0.24597,0.22687,0.09602,0.23133,2.22734,0.23598,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6849.85,1.93288,2.55393,1.62837,0.69498,0.22379,0.2196,0.09218,0.23402,1.40294,0.23826,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6994.19,1.90267,2.47638,1.63597,0.7137,0.20565,0.21954,0.08772,0.2294,1.10774,0.23673,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7138.14,1.86761,2.50225,1.61303,0.70818,0.23155,0.25207,0.09867,0.23172,2.63784,0.2352,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
