curve,x,y
all,0.0,0.750291036088475
all,0.0027137042062415195,0.750291036088475
all,0.004070556309362279,0.750291036088475
all,0.005427408412483039,0.7435389988358557
all,0.0067842605156037995,0.7365541327124564
all,0.008141112618724558,0.7294528521536671
all,0.009497964721845319,0.7223515715948778
all,0.010854816824966078,0.7152502910360885
all,0.012211668928086838,0.7147846332945285
all,0.013568521031207599,0.7124563445867287
all,0.014925373134328358,0.7053550640279393
all,0.016282225237449117,0.6982537834691502
all,0.017639077340569877,0.6911525029103609
all,0.018995929443690638,0.6841676367869616
all,0.0203527815468114,0.679278230500582
all,0.021709633649932156,0.679278230500582
all,0.023066485753052916,0.679278230500582
all,0.024423337856173677,0.6791618160651921
all,0.025780189959294438,0.6648428405122235
all,0.027137042062415198,0.6504074505238651
all,0.028493894165535955,0.6359720605355064
all,0.029850746268656716,0.6214202561117579
all,0.031207598371777476,0.6068684516880094
all,0.032564450474898234,0.6064027939464494
all,0.033921302578018994,0.5967403958090803
all,0.035278154681139755,0.5821885913853319
all,0.036635006784260515,0.5677532013969733
all,0.037991858887381276,0.5534342258440046
all,0.03934871099050204,0.539231664726426
all,0.0407055630936228,0.5343422584400466
all,0.04206241519674356,0.5338766006984866
all,0.04341926729986431,0.5332945285215367
all,0.04477611940298507,0.5327124563445867
all,0.04613297150610583,0.5321303841676368
all,0.04748982360922659,0.531431897555297
all,0.048846675712347354,0.5310826542491269
all,0.050203527815468114,0.530384167636787
all,0.051560379918588875,0.529685681024447
all,0.052917232021709636,0.5289871944121072
all,0.054274084124830396,0.5284051222351571
all,0.05563093622795115,0.5279394644935973
all,0.05698778833107191,0.5279394644935973
all,0.05834464043419267,0.5279394644935973
all,0.05970149253731343,0.5279394644935973
all,0.06105834464043419,0.5279394644935973
all,0.06241519674355495,0.5279394644935973
all,0.06377204884667571,0.5279394644935973
all,0.06512890094979647,0.5279394644935973
all,0.06648575305291723,0.5279394644935973
all,0.06784260515603799,0.5279394644935973
all,0.06919945725915876,0.5279394644935973
all,0.07055630936227951,0.5279394644935973
all,0.07191316146540028,0.5279394644935973
all,0.07327001356852103,0.5279394644935973
all,0.07462686567164178,0.5279394644935973
all,0.07598371777476255,0.5279394644935973
all,0.0773405698778833,0.5279394644935973
all,0.07869742198100407,0.5279394644935973
all,0.08005427408412483,0.5279394644935973
all,0.0814111261872456,0.5279394644935973
all,0.08276797829036635,0.5279394644935973
all,0.08412483039348712,0.5279394644935973
all,0.08548168249660787,0.5279394644935973
all,0.08683853459972862,0.5279394644935973
all,0.08819538670284939,0.5279394644935973
all,0.08955223880597014,0.5279394644935973
all,0.09090909090909091,0.5279394644935973
all,0.09226594301221167,0.5279394644935973
all,0.09362279511533243,0.5279394644935973
all,0.09497964721845319,0.5279394644935973
all,0.09633649932157395,0.5279394644935973
all,0.09769335142469471,0.5279394644935973
all,0.09905020352781546,0.5279394644935973
all,0.10040705563093623,0.5278230500582073
all,0.10176390773405698,0.5267753201396973
all,0.10312075983717775,0.5254947613504075
all,0.1044776119402985,0.5242142025611175
all,0.10583446404341927,0.5229336437718277
all,0.10719131614654002,0.5217694994179278
all,0.10854816824966079,0.5214202561117578
all,0.10990502035278155,0.520256111757858
all,0.1112618724559023,0.518975552968568
