epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1732.42,1.96031,3.01819,0.02076,0.60414,0.17339,0.12019,0.04407,0.23058,0.70864,0.00295,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1784.81,1.95356,2.8509,0.02117,0.56179,0.28226,0.12079,0.04171,0.21094,3.9914,0.00261,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1837.2,1.95045,2.83526,0.02081,0.63454,0.10887,0.09417,0.03437,0.2412,0.44715,0.0031,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1889.59,1.92553,2.85358,0.02051,0.58936,0.24395,0.12492,0.04473,0.21488,2.27141,0.00269,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1942.17,1.85629,2.8113,0.02005,0.61844,0.21573,0.14827,0.05671,0.22866,1.78741,0.0029,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1994.71,1.91989,2.75301,0.02027,0.60934,0.20363,0.09869,0.03062,0.22518,3.23593,0.00291,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2046.64,1.90868,2.76549,0.02025,0.68072,0.16734,0.16092,0.05879,0.21435,1.27853,0.00276,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2098.47,1.89978,2.76176,0.02022,0.57977,0.3004,0.14316,0.05389,0.21477,1.15618,0.00268,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2150.42,1.93899,2.79375,0.02091,0.63937,0.17141,0.12483,0.05005,0.21742,0.6963,0.00275,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2203.37,1.90792,2.80288,0.02029,0.61693,0.22177,0.16447,0.06401,0.2074,0.56622,0.00258,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2256.01,1.94823,2.76662,0.02143,0.6523,0.19428,0.17041,0.0605,0.21536,0.96265,0.00274,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2308.55,1.91125,2.6717,0.02109,0.7051,0.1949,0.18791,0.06621,0.24284,1.04733,0.00321,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2360.96,1.92559,2.71209,0.02068,0.71395,0.18699,0.18452,0.0737,0.21704,0.82111,0.00272,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2413.6,1.86403,2.66554,0.01978,0.67167,0.18553,0.17374,0.06321,0.22808,0.56206,0.00289,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2465.98,1.88583,2.66886,0.02056,0.70655,0.20766,0.18943,0.08157,0.21877,0.91259,0.00274,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2518.38,1.89461,2.61151,0.02012,0.70292,0.23274,0.21506,0.07907,0.2341,0.82164,0.00302,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2570.64,1.90745,2.63437,0.02064,0.67858,0.23992,0.2247,0.08465,0.21642,0.58301,0.00271,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2623.06,1.82402,2.55267,0.01934,0.69311,0.20968,0.21922,0.08795,0.21529,1.03979,0.0027,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2675.26,1.90646,2.62437,0.02023,0.71914,0.23123,0.23551,0.09002,0.2161,0.66034,0.00272,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2727.25,1.83579,2.55713,0.01943,0.71918,0.24076,0.23713,0.09337,0.22519,0.70856,0.0028,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2779.38,1.90301,2.52518,0.02027,0.70718,0.22539,0.24419,0.08861,0.2231,0.65554,0.00279,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2832.41,1.87567,2.49215,0.01962,0.72223,0.23589,0.2509,0.09506,0.22149,0.45006,0.00277,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2884.36,1.8281,2.54428,0.01949,0.75621,0.22036,0.25092,0.09356,0.22417,0.58088,0.00287,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2936.55,1.86829,2.57957,0.01977,0.71585,0.23387,0.25558,0.09888,0.21888,0.58181,0.00271,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2988.89,1.80426,2.44326,0.01853,0.711,0.22782,0.26134,0.10631,0.2183,0.97586,0.00277,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3041.38,1.81314,2.46337,0.01876,0.71261,0.21976,0.25221,0.10776,0.22059,0.49351,0.00284,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3093.42,1.79148,2.43751,0.01911,0.67416,0.28427,0.22239,0.0896,0.21727,0.74634,0.0027,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3145.93,1.77852,2.40685,0.01884,0.71607,0.23589,0.24646,0.10246,0.21702,0.58595,0.0027,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3198.17,1.82247,2.40653,0.01965,0.70876,0.23589,0.25393,0.10397,0.22593,0.64958,0.0029,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3250.92,1.85139,2.45499,0.01889,0.69698,0.21976,0.21694,0.09238,0.21332,0.60953,0.00264,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3302.97,1.83361,2.4989,0.01896,0.68588,0.24597,0.19271,0.08261,0.20962,0.54965,0.0026,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3355.63,1.86891,2.34255,0.02042,0.72034,0.24781,0.24275,0.10753,0.21475,0.62679,0.00266,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3407.92,1.80721,2.38463,0.01897,0.71876,0.22782,0.26008,0.10788,0.21335,0.50792,0.00266,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3460.25,1.75109,2.39758,0.01871,0.71434,0.22581,0.21826,0.09139,0.21387,0.59897,0.00267,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3512.56,1.83496,2.41666,0.01993,0.70177,0.23992,0.20842,0.08761,0.20943,0.63268,0.00262,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3564.66,1.81126,2.39877,0.0191,0.71586,0.24597,0.22296,0.10583,0.21079,0.59747,0.00263,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3617.06,1.77867,2.31378,0.0191,0.69856,0.23506,0.23295,0.09669,0.20954,0.5658,0.00258,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3669.17,1.76586,2.3407,0.01826,0.70212,0.25,0.22749,0.1042,0.20781,0.54901,0.00257,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3721.41,1.79602,2.4046,0.01892,0.7395,0.25023,0.26016,0.1187,0.21009,0.59356,0.00264,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3774,1.74552,2.34088,0.01835,0.7388,0.22581,0.2464,0.1073,0.21438,0.68772,0.00269,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3825.74,1.78277,2.28975,0.01917,0.70559,0.24194,0.25042,0.10987,0.21622,0.75097,0.00271,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3878.09,1.71933,2.24291,0.01824,0.76285,0.23017,0.26701,0.11258,0.21536,0.54599,0.00268,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3930.11,1.82242,2.31898,0.01908,0.74348,0.24111,0.26399,0.10793,0.21333,0.67695,0.00269,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3982.48,1.78065,2.28727,0.01868,0.7689,0.23992,0.27449,0.11239,0.21016,0.57011,0.00264,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4034.73,1.78214,2.27482,0.0183,0.77904,0.23992,0.27893,0.11671,0.21588,0.57998,0.00273,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4087.58,1.73479,2.29441,0.0186,0.73202,0.24395,0.27201,0.12024,0.21237,0.55513,0.00267,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4139.96,1.69656,2.15977,0.01767,0.72476,0.24194,0.26556,0.11869,0.21156,0.50967,0.00263,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4192.27,1.70621,2.16043,0.01878,0.7382,0.26232,0.27904,0.12597,0.21285,0.55777,0.00266,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4244.31,1.74308,2.22123,0.01867,0.7455,0.22171,0.24702,0.11023,0.21681,0.54151,0.00271,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4296.27,1.75637,2.24809,0.01878,0.729,0.23681,0.25548,0.1121,0.21392,0.55459,0.00268,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4348.29,1.74424,2.23165,0.01824,0.72443,0.2379,0.24752,0.11364,0.20861,0.57986,0.0026,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4400.1,1.6853,2.19064,0.01782,0.75156,0.22379,0.26299,0.11598,0.2057,0.56775,0.00255,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4451.86,1.66615,2.16279,0.01746,0.71859,0.27016,0.25542,0.10879,0.21478,0.53316,0.00269,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4504.15,1.70766,2.185,0.01783,0.72078,0.26008,0.26688,0.11544,0.21217,0.60365,0.00262,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4555.98,1.72179,2.15401,0.01774,0.7548,0.2379,0.27158,0.11838,0.21485,0.51981,0.00267,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4608.04,1.61589,2.11741,0.01659,0.75708,0.24965,0.27164,0.1212,0.21085,0.51618,0.00259,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4660.43,1.73289,2.09038,0.01768,0.76016,0.24194,0.27055,0.1191,0.21209,0.58127,0.00262,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4712.69,1.66251,2.1009,0.01735,0.73613,0.25605,0.26287,0.11895,0.21299,0.58133,0.00263,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4764.8,1.69877,2.13513,0.01788,0.74069,0.26815,0.26911,0.1186,0.21679,0.54603,0.00269,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4827.52,1.36269,1.65754,0.018,0.74186,0.24798,0.27097,0.11881,0.2149,0.50258,0.00267,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4878.56,1.30251,1.57211,0.01712,0.73025,0.25605,0.27649,0.1221,0.21563,0.53154,0.00267,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4930.01,1.28996,1.59187,0.01737,0.72796,0.25403,0.27885,0.12341,0.21393,0.50353,0.00263,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4981.04,1.34232,1.66235,0.01769,0.76289,0.22984,0.27168,0.12102,0.2115,0.50723,0.00261,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5032.54,1.3137,1.57442,0.0171,0.7461,0.24037,0.277,0.12213,0.21087,0.5111,0.00261,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5083.16,1.3411,1.60269,0.01745,0.73974,0.25605,0.28588,0.12451,0.21051,0.49426,0.00262,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5133.85,1.31038,1.58518,0.01668,0.74497,0.26726,0.28249,0.11959,0.21128,0.49814,0.00265,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5185.02,1.25685,1.51129,0.01622,0.74113,0.2648,0.27632,0.11597,0.21217,0.48521,0.00266,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5235.82,1.31687,1.51559,0.01756,0.73046,0.26008,0.27531,0.11749,0.21347,0.49209,0.00267,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5286.42,1.31017,1.52228,0.01764,0.7421,0.26411,0.27382,0.11859,0.21516,0.50093,0.0027,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
